attribute;question;gain
question_18;Meu cônjuge e eu temos ideias semelhantes sobre como o casamento deve ser.;0,9119
question_20;Meu cônjuge e eu temos valores semelhantes em relação à confiança.;0,897
question_40;Estamos apenas começando uma discussão antes que eu saiba o que está acontecendo.;0,89
question_17;Compartilhamos as mesmas opiniões sobre ser feliz em nossa vida com meu cônjuge.;0,8821
question_19;Meu cônjuge e eu temos ideias semelhantes sobre como os papéis devem ser no casamento.;0,8715
question_11;Acredito que um dia, olhando para trás, verei que meu cônjuge e eu estivemos em harmonia um com o outro.;0,8683
question_9;Eu gosto de viajar com minha esposa.;0,8545
question_16;Somos compatíveis com meu cônjuge sobre o que o amor deve ser.;0,8369
question_15;Nossos sonhos com meu cônjuge são semelhantes e harmoniosos.;0,8232
question_26;Sei quais são as ansiedades básicas do meu cônjuge.;0,8223
question_29;Conheço muito bem meu cônjuge.;0,8175
question_30;Conheço os amigos do meu cônjuge e seus relacionamentos sociais.;0,8045
question_12;Meu cônjuge e eu temos valores semelhantes em relação à liberdade pessoal.;0,8013
question_39;Nossas discussões frequentemente ocorrem de repente.;0,8004
question_5;O tempo que passo com minha esposa é especial para nós.;0,7937
question_36;Posso ser humilhante quando discutimos.;0,7884
question_25;Tenho conhecimento do mundo interior do meu cônjuge.;0,7859
question_41;Quando falo com meu cônjuge sobre algo, minha calma quebra repentinamente.;0,7841
question_14;A maioria de nossos objetivos em relação a pessoas (filhos, amigos, etc.) é a mesma.;0,7826
question_27;Sei quais são as fontes atuais de estresse do meu cônjuge.;0,7762
question_28;Sei quais são as esperanças e desejos do meu cônjuge.;0,764
question_21;Sei exatamente do que minha esposa gosta.;0,7636
question_8;Eu aproveito nossas férias com minha esposa.;0,7568
question_4;Quando discuto com meu cônjuge, entrar em contato com ele eventualmente funcionará.;0,7541
question_38;Odeio a maneira como meu cônjuge abre um assunto.;0,7498
question_37;Minha discussão com meu cônjuge não é calma.;0,7202
question_13;Meu cônjuge e eu temos um senso de entretenimento semelhante.;0,7191
question_22;Sei como meu cônjuge quer ser cuidado quando está doente.;0,7171
question_44;Às vezes, acho que é bom para mim sair de casa por um tempo.;0,716
question_10;A maioria de nossos objetivos é comum ao meu cônjuge.;0,7156
question_1;Se um de nós pedir desculpas quando nossa discussão piorar, a discussão termina.;0,7146
question_35;Posso insultar meu cônjuge durante nossas discussões.;0,7085
question_24;Posso dizer qual tipo de estresse meu cônjuge está enfrentando em sua vida.;0,6953
question_33;Posso fazer declarações negativas sobre a personalidade do meu cônjuge durante nossas discussões.;0,6835
question_23;Sei a comida favorita do meu cônjuge.;0,6729
question_2;Sei que podemos ignorar nossas diferenças, mesmo que as coisas fiquem difíceis às vezes.;0,6675
question_32;Ao discutir com meu cônjuge, geralmente uso expressões como 'você sempre' ou 'você nunca'.;0,6543
question_34;Posso usar expressões ofensivas durante nossas discussões.;0,6536
question_31;Sinto-me agressivo quando discuto com meu cônjuge.;0,6503
question_3;Quando precisamos, podemos recomeçar nossas discussões com meu cônjuge e corrigi-las.;0,6282
question_54;Não tenho medo de dizer ao meu cônjuge sobre sua incompetência.;0,6143
question_50;Na verdade, não sou o culpado pelo que estou sendo acusado.;0,5562
question_42;Quando discuto com meu cônjuge, simplesmente saio e não digo uma palavra.;0,5095
question_49;Não tenho nada a ver com o que fui acusado.;0,4986
question_51;Não sou o errado em problemas em casa.;0,4838
question_53;Quando discuto, lembro meu cônjuge de sua inadequação.;0,4564
question_7;Somos como dois estranhos que compartilham o mesmo ambiente em casa, em vez de uma família.;0,4111
question_48;Sinto que estou certo em nossas discussões.;0,3778
question_52;Não hesitaria em dizer ao meu cônjuge sobre sua inadequação.;0,3774
question_47;Quando discuto com meu cônjuge, fico em silêncio porque tenho medo de não conseguir controlar minha raiva.;0,3568
question_43;Na maioria das vezes, fico em silêncio para acalmar um pouco o ambiente.;0,3007
question_45;Prefiro ficar em silêncio do que discutir com meu cônjuge.;0,2572
question_6;Não temos tempo em casa como parceiros.;0,1883
question_46;Mesmo que eu esteja certo na discussão, fico em silêncio para magoar meu cônjuge.;0,1697
